"Date","Price","Open","High","Low","Change %"
"Jun 17, 2012","1.2403","1.2359","1.2468","1.2324","-0.27%"
"Jun 10, 2012","1.2437","1.2272","1.2485","1.2255","0.61%"
"Jun 03, 2012","1.2362","1.2361","1.2425","1.2277","0.06%"
"May 27, 2012","1.2355","1.2469","1.2551","1.2347","-1.25%"
"May 20, 2012","1.2511","1.2369","1.2536","1.2339","1.11%"
"May 13, 2012","1.2374","1.2463","1.2580","1.2368","-0.55%"
"May 06, 2012","1.2443","1.2392","1.2507","1.2372","0.77%"
"Apr 29, 2012","1.2348","1.2287","1.2354","1.2195","0.61%"
"Apr 22, 2012","1.2273","1.2225","1.2298","1.2158","0.64%"
"Apr 15, 2012","1.2195","1.2131","1.2256","1.2089","0.63%"
"Apr 08, 2012","1.2119","1.2124","1.2157","1.2076","-0.09%"
"Apr 01, 2012","1.2130","1.1987","1.2146","1.1960","1.08%"
"Mar 25, 2012","1.2000","1.1960","1.2014","1.1906","0.38%"
"Mar 18, 2012","1.1955","1.2015","1.2075","1.1941","-0.60%"
"Mar 11, 2012","1.2027","1.1951","1.2059","1.1866","0.65%"
"Mar 04, 2012","1.1949","1.2003","1.2022","1.1902","-0.40%"
"Feb 26, 2012","1.1997","1.1794","1.2029","1.1774","1.64%"
"Feb 19, 2012","1.1803","1.2016","1.2032","1.1753","-1.97%"
"Feb 12, 2012","1.2040","1.1941","1.2083","1.1897","0.81%"
"Feb 05, 2012","1.1943","1.2058","1.2107","1.1887","-0.76%"
"Jan 29, 2012","1.2034","1.1894","1.2090","1.1889","1.16%"
"Jan 22, 2012","1.1896","1.2078","1.2083","1.1891","-1.19%"
"Jan 15, 2012","1.2039","1.2089","1.2117","1.1931","-0.44%"
"Jan 08, 2012","1.2092","1.2143","1.2164","1.1933","-0.32%"
"Jan 01, 2012","1.2131","1.1982","1.2140","1.1938","1.04%"
"Dec 25, 2011","1.2006","1.1953","1.2008","1.1870","0.44%"
"Dec 18, 2011","1.1953","1.1913","1.2046","1.1876","0.37%"
"Dec 11, 2011","1.1909","1.1693","1.1946","1.1685","1.73%"
"Dec 04, 2011","1.1706","1.1632","1.1775","1.1605","0.54%"
"Nov 27, 2011","1.1643","1.1621","1.1743","1.1589","-0.24%"
"Nov 20, 2011","1.1671","1.1688","1.1704","1.1536","-0.16%"
"Nov 13, 2011","1.1690","1.1644","1.1742","1.1619","0.02%"
"Nov 06, 2011","1.1688","1.1613","1.1789","1.1608","0.58%"
"Oct 30, 2011","1.1621","1.1393","1.1702","1.1379","1.99%"
"Oct 23, 2011","1.1394","1.1498","1.1537","1.1320","-0.76%"
"Oct 16, 2011","1.1481","1.1391","1.1541","1.1363","0.70%"
"Oct 09, 2011","1.1401","1.1610","1.1623","1.1375","-1.99%"
"Oct 02, 2011","1.1632","1.1674","1.1726","1.1453","-0.09%"
"Sep 25, 2011","1.1643","1.1448","1.1660","1.1427","1.61%"
"Sep 18, 2011","1.1458","1.1501","1.1536","1.1364","0.15%"
"Sep 11, 2011","1.1441","1.1665","1.1724","1.1371","-1.65%"
"Sep 04, 2011","1.1633","1.1402","1.1636","1.1297","1.90%"
"Aug 28, 2011","1.1416","1.1262","1.1435","1.1252","1.10%"
"Aug 21, 2011","1.1292","1.1463","1.1501","1.1267","-1.25%"
"Aug 14, 2011","1.1435","1.1418","1.1561","1.1316","0.11%"
"Aug 07, 2011","1.1423","1.1444","1.1548","1.1250","-0.47%"
"Jul 31, 2011","1.1477","1.1414","1.1572","1.1354","0.62%"
"Jul 24, 2011","1.1406","1.1336","1.1452","1.1253","0.43%"
"Jul 17, 2011","1.1357","1.1416","1.1493","1.1290","-0.39%"
"Jul 10, 2011","1.1401","1.1276","1.1440","1.1244","1.31%"
"Jul 03, 2011","1.1254","1.1041","1.1285","1.1019","1.68%"
"Jun 26, 2011","1.1068","1.1245","1.1292","1.1005","-1.57%"
