Date,Open,High,Low,Close
12/22/21,7297.41,7341.66,7273.45,7341.66
12/21/21,7198.03,7297.41,7198.03,7297.41
12/20/21,7269.92,7269.92,7101.04,7198.03
12/17/21,7260.61,7286.5,7236.17,7269.92
12/16/21,7170.75,7273.34,7170.75,7260.61
12/15/21,7218.64,7224.85,7166.83,7170.75
12/14/21,7231.44,7284.47,7218.64,7218.64
12/13/21,7291.78,7309.23,7226.63,7231.44
12/10/21,7321.26,7331.58,7284.82,7291.78
12/09/21,7337.05,7366.1,7302.96,7321.26
12/08/21,7339.9,7378.92,7333.56,7337.05
12/07/21,7232.28,7344.69,7232.28,7339.9
12/06/21,7122.32,7246.25,7122.32,7232.28
12/03/21,7129.21,7196.05,7105.29,7122.32
12/02/21,7168.68,7168.68,7083.21,7129.21
12/01/21,7059.45,7182.01,7059.35,7168.68
11/30/21,7109.95,7109.95,6989.66,7059.45
11/29/21,7044.03,7161.91,7044.03,7109.95
11/26/21,7310.37,7310.37,7042.12,7044.03
11/25/21,7286.32,7311.94,7286.32,7310.37
11/24/21,7266.69,7307.89,7245.98,7286.32
11/23/21,7255.46,7293.07,7204.37,7266.69
11/22/21,7223.57,7272.63,7207.81,7255.46
11/19/21,7255.96,7289.51,7198.76,7223.57
11/18/21,7291.2,7291.26,7241.99,7255.96
11/17/21,7326.97,7326.97,7289.98,7291.2
11/16/21,7351.86,7368.25,7324.13,7326.97
11/15/21,7347.91,7363.48,7324.11,7351.86
11/12/21,7384.18,7402.68,7340.49,7347.91
11/11/21,7340.15,7394.41,7329.68,7384.18
11/10/21,7274.04,7340.15,7270.11,7340.15
11/09/21,7300.4,7314.13,7268.79,7274.04
11/08/21,7303.96,7316.54,7293.5,7300.4
11/05/21,7279.91,7331.25,7270.03,7303.96
11/04/21,7248.89,7292.96,7247.59,7279.91
11/03/21,7274.81,7277.64,7235.32,7248.89
11/02/21,7288.62,7288.62,7240.02,7274.81
11/01/21,7237.57,7303.39,7237.57,7288.62
10/29/21,7249.47,7249.47,7192.05,7237.57
10/28/21,7253.27,7257.85,7219.71,7249.47
10/27/21,7277.62,7280.45,7247.25,7253.27
10/26/21,7222.82,7281.17,7222.82,7277.62
10/25/21,7204.55,7247.53,7204.55,7222.82
10/22/21,7190.3,7235.19,7190.3,7204.55
10/21/21,7223.1,7227.06,7181.7,7190.3
10/20/21,7217.53,7229.26,7199.29,7223.1
10/19/21,7203.83,7223.29,7189.5,7217.53
10/18/21,7234.03,7234.03,7180.2,7203.83
10/15/21,7207.71,7243.85,7206.26,7234.03
10/14/21,7141.82,7216.15,7141.82,7207.71
10/13/21,7130.23,7152.87,7087.93,7141.82
10/12/21,7146.85,7146.85,7063.43,7130.23
10/11/21,7095.55,7146.85,7085.85,7146.85
10/08/21,7078.04,7109.34,7070.53,7095.55
10/07/21,6995.87,7094.93,6995.87,7078.04
10/06/21,7077.1,7077.1,6945.5,6995.87
10/05/21,7011.01,7084.52,7011.01,7077.1
10/04/21,7027.07,7072.48,7002.72,7011.01
10/01/21,7086.42,7086.42,6989.64,7027.07
09/30/21,7108.16,7159.61,7072.57,7086.42
09/29/21,7028.1,7117.52,7026.85,7108.16
09/28/21,7063.4,7071.36,7015.58,7028.1
09/27/21,7051.48,7122.09,7043.21,7063.4
09/24/21,7078.35,7080.23,7041.34,7051.48
09/23/21,7083.37,7131.43,7070.68,7078.35
09/22/21,6980.98,7090.48,6980.98,7083.37
09/21/21,6903.91,7004.88,6903.91,6980.98
09/20/21,6963.64,6963.64,6828.28,6903.91
09/17/21,7027.48,7092.69,6941.69,6963.64
09/16/21,7016.49,7058.99,7016.32,7027.48
09/15/21,7034.06,7047.27,7016.49,7016.49
09/14/21,7068.43,7068.45,7020.1,7034.06
09/13/21,7029.2,7090.81,7029.2,7068.43
09/10/21,7024.21,7055.22,7014.42,7029.2
09/09/21,7095.53,7095.53,6998.62,7024.21
09/08/21,7149.37,7149.37,7061.13,7095.53
09/07/21,7187.18,7187.18,7147.94,7149.37
09/06/21,7138.35,7195.62,7138.35,7187.18
09/03/21,7163.9,7182.23,7123.87,7138.35
09/02/21,7149.84,7168.78,7129.71,7163.9
09/01/21,7119.7,7187.34,7119.7,7149.84
08/31/21,7148.01,7160.49,7092.03,7119.7
08/27/21,7124.98,7157.6,7108.53,7148.01
08/26/21,7150.12,7150.12,7095.43,7124.98
08/25/21,7125.78,7151.75,7121.29,7150.12
08/24/21,7109.02,7129.66,7076.06,7125.78
08/23/21,7087.9,7147.8,7087.9,7109.02
08/20/21,7058.86,7095.61,7032.45,7087.9
08/19/21,7169.32,7169.32,6993.06,7058.86
08/18/21,7181.11,7198.79,7143.55,7169.32
08/17/21,7153.98,7188.55,7118.67,7181.11
08/16/21,7218.71,7218.71,7117.78,7153.98
08/13/21,7193.23,7224.46,7193.13,7218.71
08/12/21,7220.14,7220.7,7182.92,7193.23
08/11/21,7161.04,7220.14,7157.74,7220.14
08/10/21,7132.3,7166.67,7115.87,7161.04
08/09/21,7122.95,7138.8,7089.74,7132.3
08/06/21,7120.43,7135.39,7103.71,7122.95
08/05/21,7123.86,7130.35,7099.03,7120.43
08/04/21,7105.72,7142.54,7105.72,7123.86
08/03/21,7081.72,7119.19,7074.32,7105.72
08/02/21,7032.3,7111.66,7032.3,7081.72
07/30/21,7078.42,7078.42,6996.93,7032.3
07/29/21,7016.63,7093.93,7008.65,7078.42
07/28/21,6996.08,7023.35,6974.8,7016.63
07/27/21,7025.43,7028.37,6929.64,6996.08
07/26/21,7027.58,7038.65,6980.67,7025.43
07/23/21,6968.3,7033.27,6968.3,7027.58
07/22/21,6998.28,7018.95,6956.24,6968.3
07/21/21,6881.13,7007.75,6881.13,6998.28
07/20/21,6844.39,6929.89,6827.26,6881.13
07/19/21,7008.09,7008.09,6813.03,6844.39
07/16/21,7012.02,7056.73,6978.06,7008.09
07/15/21,7091.19,7111.77,7005.02,7012.02
07/14/21,7124.72,7124.72,7073.59,7091.19
07/13/21,7125.42,7152.44,7116.26,7124.72
07/12/21,7121.88,7134.87,7066.2,7125.42
07/09/21,7030.66,7121.88,7030.22,7121.88
07/08/21,7151.02,7151.02,6981.57,7030.66
07/07/21,7100.88,7153.68,7100.88,7151.02
07/06/21,7164.91,7170.6,7075.73,7100.88
07/05/21,7123.27,7168.03,7111.51,7164.91
07/02/21,7125.16,7162.16,7110.3,7123.27
07/01/21,7037.47,7134.21,7037.47,7125.16
06/30/21,7087.55,7100.71,7010.57,7037.47
06/29/21,7072.97,7120.77,7071.86,7087.55
06/28/21,7136.07,7136.22,7071.95,7072.97
06/25/21,7109.97,7139.08,7109.79,7136.07
06/24/21,7074.06,7119.41,7070.9,7109.97
06/23/21,7090.01,7129.4,7074.06,7074.06
06/22/21,7062.29,7098.67,7061.13,7090.01
06/21/21,7017.47,7065.05,6948.63,7062.29
06/18/21,7153.43,7154.63,7008.74,7017.47
06/17/21,7184.95,7184.95,7132.96,7153.43
06/16/21,7172.48,7217.54,7169.21,7184.95
06/15/21,7146.68,7189.63,7142.71,7172.48
06/14/21,7134.06,7188.26,7131.79,7146.68
06/11/21,7088.18,7140.7,7088.18,7134.06
06/10/21,7081.01,7117.74,7080.02,7088.18
06/09/21,7095.09,7095.72,7046.02,7081.01
06/08/21,7077.22,7120.73,7074.94,7095.09
06/07/21,7069.04,7098.31,7042.19,7077.22
06/04/21,7064.35,7071.81,7039.74,7069.04
06/03/21,7108,7108.04,7013.85,7064.35
06/02/21,7080.46,7122.54,7074.06,7108
06/01/21,7022.61,7118.03,7022.61,7080.46
05/28/21,7019.67,7054.91,7019.58,7022.61
05/27/21,7026.93,7044.01,7008.53,7019.67
05/26/21,7029.79,7050.88,6998.19,7026.93
05/25/21,7051.59,7067.6,7029.79,7029.79
05/24/21,7018.05,7054.63,7013.51,7051.59
05/21/21,7019.79,7028.17,6973.31,7018.05
05/20/21,6950.2,7019.79,6926.85,7019.79
05/19/21,7034.24,7034.24,6897.06,6950.2
05/18/21,7032.85,7102.57,7030.37,7034.24
05/17/21,7043.61,7066.76,6989.11,7032.85
05/14/21,6963.33,7048.67,6963.33,7043.61
05/13/21,7004.63,7004.63,6823.6,6963.33
05/12/21,6947.99,7028.1,6945.33,7004.63
05/11/21,7123.68,7123.68,6912.36,6947.99
05/10/21,7129.71,7164.18,7104.4,7123.68
05/07/21,7076.17,7143.46,7076.17,7129.71
05/06/21,7039.3,7076.17,7026.75,7076.17
05/05/21,6923.17,7047.75,6923.17,7039.3
05/04/21,6969.81,7034.26,6912.28,6923.17
04/30/21,6961.48,7009.47,6946.04,6969.81
04/29/21,6963.67,7019.76,6953.87,6961.48
04/28/21,6944.97,6986.7,6944.06,6963.67
04/27/21,6963.12,6975.07,6929.77,6944.97
04/26/21,6938.56,6971.52,6913.39,6963.12
04/23/21,6938.24,6938.56,6891.75,6938.56
04/22/21,6895.29,6941.11,6889.32,6938.24
04/21/21,6859.87,6914.88,6859.61,6895.29
04/20/21,7000.08,7001.27,6857.07,6859.87
04/19/21,7019.53,7040.26,6979.23,7000.08
04/16/21,6983.5,7037.65,6983.5,7019.53
04/15/21,6939.58,6994.9,6939.26,6983.5
04/14/21,6890.49,6942.33,6880.67,6939.58
04/13/21,6889.12,6895.13,6859.72,6890.49
04/12/21,6915.75,6916.08,6853.75,6889.12
04/09/21,6942.22,6949.56,6906.37,6915.75
04/08/21,6885.32,6942.22,6884.79,6942.22
04/07/21,6823.55,6898.38,6823.55,6885.32
04/06/21,6737.3,6843.73,6737.3,6823.55
04/05/21,6713.63,6766.52,6713.63,6737.3
04/02/21,6713.63,6766.52,6713.63,6737.3
04/01/21,6713.63,6766.52,6713.63,6737.3
03/31/21,6772.12,6775.67,6713.63,6713.63
03/30/21,6736.17,6792.23,6729.46,6772.12
03/29/21,6740.59,6758.78,6705.42,6736.17
03/26/21,6674.83,6742.14,6674.83,6740.59
03/25/21,6712.89,6729.92,6618.61,6674.83
03/24/21,6699.19,6722.61,6649.37,6712.89
03/23/21,6726.1,6726.1,6664.76,6699.19
03/22/21,6708.71,6732.67,6650.96,6726.1
